index,x,y,z,coverage_db
0,-765.0,795.0,1.5,-98.1
1,-605.0,795.0,1.5,-99.2
2,-595.0,795.0,1.5,-98.0
3,-795.0,785.0,1.5,-95.1
4,-775.0,785.0,1.5,-99.4
5,-775.0,775.0,1.5,-97.6
6,-755.0,775.0,1.5,-99.7
7,-785.0,765.0,1.5,-99.0
8,-755.0,765.0,1.5,-96.7
9,-595.0,765.0,1.5,-97.2
10,-465.0,765.0,1.5,-103.5
11,-785.0,755.0,1.5,-97.2
12,-765.0,755.0,1.5,-95.4
13,-755.0,755.0,1.5,-99.7
14,-795.0,745.0,1.5,-94.6
15,-785.0,745.0,1.5,-98.9
16,-755.0,745.0,1.5,-98.0
17,-735.0,745.0,1.5,-100.0
18,-585.0,745.0,1.5,-101.4
19,-775.0,735.0,1.5,-97.2
20,-765.0,735.0,1.5,-99.3
21,-745.0,735.0,1.5,-99.6
22,-735.0,735.0,1.5,-98.3
23,-795.0,725.0,1.5,-98.5
24,-775.0,725.0,1.5,-98.9
25,-765.0,725.0,1.5,-97.5
26,-735.0,725.0,1.5,-100.0
27,-585.0,725.0,1.5,-97.3
28,-785.0,715.0,1.5,-96.8
29,-765.0,715.0,1.5,-99.2
30,-745.0,715.0,1.5,-95.6
31,-785.0,705.0,1.5,-98.5
32,-775.0,705.0,1.5,-94.9
33,-755.0,705.0,1.5,-97.5
34,-735.0,705.0,1.5,-99.9
35,-725.0,705.0,1.5,-98.3
36,-715.0,705.0,1.5,-96.3
37,-575.0,705.0,1.5,-97.6
38,-795.0,695.0,1.5,-94.1
39,-785.0,695.0,1.5,-96.8
40,-755.0,695.0,1.5,-99.1
41,-745.0,695.0,1.5,-99.5
42,-735.0,695.0,1.5,-97.8
43,-785.0,685.0,1.5,-97.1
44,-765.0,685.0,1.5,-94.8
45,-725.0,685.0,1.5,-95.9
46,-715.0,685.0,1.5,-100.2
47,-705.0,685.0,1.5,-98.5
48,-685.0,685.0,1.5,-101.6
49,-795.0,675.0,1.5,-98.0
50,-785.0,675.0,1.5,-96.4
51,-755.0,675.0,1.5,-99.1
52,-745.0,675.0,1.5,-97.4
