index,x,y,z,coverage_db
0,-76500.0,79500.0,150.0,-98.1
1,-60500.0,79500.0,150.0,-99.2
2,-59500.0,79500.0,150.0,-98.0
3,-79500.0,78500.0,150.0,-95.1
4,-77500.0,78500.0,150.0,-99.4
5,-77500.0,77500.0,150.0,-97.6
6,-75500.0,77500.0,150.0,-99.7
7,-78500.0,76500.0,150.0,-99.0
8,-75500.0,76500.0,150.0,-96.7
9,-59500.0,76500.0,150.0,-97.2
10,-46500.0,76500.0,150.0,-103.5
11,-78500.0,75500.0,150.0,-97.2
12,-76500.0,75500.0,150.0,-95.4
13,-75500.0,75500.0,150.0,-99.7
14,-79500.0,74500.0,150.0,-94.6
15,-78500.0,74500.0,150.0,-98.9
16,-75500.0,74500.0,150.0,-98.0
17,-73500.0,74500.0,150.0,-100.0
18,-58500.0,74500.0,150.0,-101.4
19,-77500.0,73500.0,150.0,-97.2
20,-76500.0,73500.0,150.0,-99.3
21,-74500.0,73500.0,150.0,-99.6
22,-73500.0,73500.0,150.0,-98.3
23,-79500.0,72500.0,150.0,-98.5
24,-77500.0,72500.0,150.0,-98.9
25,-76500.0,72500.0,150.0,-97.5
26,-73500.0,72500.0,150.0,-100.0
27,-58500.0,72500.0,150.0,-97.3
28,-78500.0,71500.0,150.0,-96.8
29,-76500.0,71500.0,150.0,-99.2
30,-74500.0,71500.0,150.0,-95.6
31,-78500.0,70500.0,150.0,-98.5
32,-77500.0,70500.0,150.0,-94.9
33,-75500.0,70500.0,150.0,-97.5
34,-73500.0,70500.0,150.0,-99.9
35,-72500.0,70500.0,150.0,-98.3
36,-71500.0,70500.0,150.0,-96.3
37,-57500.0,70500.0,150.0,-97.6
38,-79500.0,69500.0,150.0,-94.1
39,-78500.0,69500.0,150.0,-96.8
40,-75500.0,69500.0,150.0,-99.1
41,-74500.0,69500.0,150.0,-99.5
42,-73500.0,69500.0,150.0,-97.8
43,-78500.0,68500.0,150.0,-97.1
44,-76500.0,68500.0,150.0,-94.8
45,-72500.0,68500.0,150.0,-95.9
46,-71500.0,68500.0,150.0,-100.2
47,-70500.0,68500.0,150.0,-98.5
48,-68500.0,68500.0,150.0,-101.6
49,-79500.0,67500.0,150.0,-98.0
50,-78500.0,67500.0,150.0,-96.4
51,-75500.0,67500.0,150.0,-99.1
52,-74500.0,67500.0,150.0,-97.4
53,-73500.0,67500.0,150.0,-95.5
54,-72500.0,67500.0,150.0,-99.8
55,-69500.0,67500.0,150.0,-100.5
56,-57500.0,67500.0,150.0,-101.5
57,-77500.0,66500.0,150.0,-94.4
58,-76500.0,66500.0,150.0,-98.7
59,-75500.0,66500.0,150.0,-97.0
60,-74500.0,66500.0,150.0,-99.0
61,-71500.0,66500.0,150.0,-96.0
62,-69500.0,66500.0,150.0,-100.4
63,-56500.0,66500.0,150.0,-100.0
64,-55500.0,66500.0,150.0,-101.8
65,-79500.0,65500.0,150.0,-96.0
66,-78500.0,65500.0,150.0,-94.0
67,-74500.0,65500.0,150.0,-97.4
68,-73500.0,65500.0,150.0,-99.3
69,-72500.0,65500.0,150.0,-95.6
70,-70500.0,65500.0,150.0,-98.5
71,-68500.0,65500.0,150.0,-98.8
72,-77500.0,64500.0,150.0,-98.3
73,-76500.0,64500.0,150.0,-96.6
74,-75500.0,64500.0,150.0,-93.5
75,-74500.0,64500.0,150.0,-98.9
76,-71500.0,64500.0,150.0,-98.1
77,-70500.0,64500.0,150.0,-100.0
78,-69500.0,64500.0,150.0,-100.4
79,-68500.0,64500.0,150.0,-100.7
80,-64500.0,64500.0,150.0,-103.6
81,-79500.0,63500.0,150.0,-93.7
82,-78500.0,63500.0,150.0,-97.9
83,-77500.0,63500.0,150.0,-96.3
84,-76500.0,63500.0,150.0,-98.2
85,-73500.0,63500.0,150.0,-95.2
86,-72500.0,63500.0,150.0,-97.7
87,-71500.0,63500.0,150.0,-99.6
88,-70500.0,63500.0,150.0,-100.0
89,-69500.0,63500.0,150.0,-98.4
90,-68500.0,63500.0,150.0,-98.8
91,-55500.0,63500.0,150.0,-101.9
92,-79500.0,62500.0,150.0,-97.5
93,-75500.0,62500.0,150.0,-94.5
94,-74500.0,62500.0,150.0,-94.8
95,-72500.0,62500.0,150.0,-99.2
96,-71500.0,62500.0,150.0,-98.3
97,-70500.0,62500.0,150.0,-98.0
98,-69500.0,62500.0,150.0,-96.2
99,-68500.0,62500.0,150.0,-100.6
100,-55500.0,62500.0,150.0,-100.1
101,-78500.0,61500.0,150.0,-95.9
102,-77500.0,61500.0,150.0,-97.8
103,-76500.0,61500.0,150.0,-94.1
104,-75500.0,61500.0,150.0,-98.5
105,-73500.0,61500.0,150.0,-95.0
106,-71500.0,61500.0,150.0,-97.6
107,-70500.0,61500.0,150.0,-99.9
108,-69500.0,61500.0,150.0,-100.2
109,-68500.0,61500.0,150.0,-98.7
110,-67500.0,61500.0,150.0,-100.6
111,-66500.0,61500.0,150.0,-99.0
112,-79500.0,60500.0,150.0,-101.2
113,-77500.0,60500.0,150.0,-97.8
114,-75500.0,60500.0,150.0,-96.5
115,-73500.0,60500.0,150.0,-96.9
116,-72500.0,60500.0,150.0,-97.2
117,-71500.0,60500.0,150.0,-99.5
118,-70500.0,60500.0,150.0,-97.9
119,-69500.0,60500.0,150.0,-96.0
120,-66500.0,60500.0,150.0,-100.9
121,-61500.0,60500.0,150.0,-100.5
122,-60500.0,60500.0,150.0,-102.1
123,-55500.0,60500.0,150.0,-102.0
124,-54500.0,60500.0,150.0,-100.3
125,-77500.0,59500.0,150.0,-95.8
126,-76500.0,59500.0,150.0,-96.2
127,-75500.0,59500.0,150.0,-98.1
128,-74500.0,59500.0,150.0,-98.4
129,-73500.0,59500.0,150.0,-98.7
130,-72500.0,59500.0,150.0,-95.0
131,-71500.0,59500.0,150.0,-97.5
132,-68500.0,59500.0,150.0,-100.1
133,-67500.0,59500.0,150.0,-96.4
134,-66500.0,59500.0,150.0,-96.8
135,-65500.0,59500.0,150.0,-101.2
136,-58500.0,59500.0,150.0,-104.0
137,-54500.0,59500.0,150.0,-102.2
138,-77500.0,58500.0,150.0,-105.4
139,-76500.0,58500.0,150.0,-96.7
140,-75500.0,58500.0,150.0,-98.0
141,-74500.0,58500.0,150.0,-94.3
142,-73500.0,58500.0,150.0,-96.8
143,-72500.0,58500.0,150.0,-97.1
144,-70500.0,58500.0,150.0,-98.1
145,-69500.0,58500.0,150.0,-95.7
146,-68500.0,58500.0,150.0,-96.0
147,-67500.0,58500.0,150.0,-96.4
148,-65500.0,58500.0,150.0,-99.3
149,-26500.0,58500.0,150.0,-105.5
150,-75500.0,57500.0,150.0,-96.1
151,-74500.0,57500.0,150.0,-96.4
152,-73500.0,57500.0,150.0,-98.7
153,-71500.0,57500.0,150.0,-99.0
154,-70500.0,57500.0,150.0,-95.3
155,-69500.0,57500.0,150.0,-95.6
156,-68500.0,57500.0,150.0,-100.0
157,-67500.0,57500.0,150.0,-102.8
158,-66500.0,57500.0,150.0,-96.7
159,-65500.0,57500.0,150.0,-100.8
160,-64500.0,57500.0,150.0,-99.2
161,-53500.0,57500.0,150.0,-100.4
162,-49500.0,57500.0,150.0,-102.9
163,-75500.0,56500.0,150.0,-96.9
164,-74500.0,56500.0,150.0,-105.6
165,-73500.0,56500.0,150.0,-98.3
166,-72500.0,56500.0,150.0,-94.6
167,-71500.0,56500.0,150.0,-94.9
168,-70500.0,56500.0,150.0,-99.3
169,-68500.0,56500.0,150.0,-98.1
170,-67500.0,56500.0,150.0,-96.3
171,-66500.0,56500.0,150.0,-100.7
172,-65500.0,56500.0,150.0,-96.8
173,-63500.0,56500.0,150.0,-101.3
174,-53500.0,56500.0,150.0,-102.3
175,-52500.0,56500.0,150.0,-100.7
176,-37500.0,56500.0,150.0,-100.1
177,-74500.0,55500.0,150.0,-105.6
